Longitude	Latitude	Elevation	Elevation	HCP1	PRP1	HCP2	PRP2	VpH	VEC_s	VEC_d	TWI
-75.749208	45.108457	58.43	58.43	30.78	16.98	31.18	26.72	5.58	17.72	25.39	13.05
-75.749245	45.108485	58.45	58.45	29.56	16.50	30.72	25.60	5.60	18.54	26.77	13.06
-75.749278	45.108513	58.45	58.45	29.56	16.50	30.72	25.60	5.61	19.49	29.36	13.19
-75.749313	45.108542	58.45	58.45	30.34	17.00	31.12	26.06	5.62	20.41	32.87	13.29
-75.749348	45.108572	58.45	58.45	30.64	17.46	31.12	26.18	5.63	20.78	36.49	13.54
-75.749383	45.108603	58.45	58.45	30.64	17.66	31.56	26.54	5.64	21.61	38.70	13.41
-75.749422	45.108632	58.45	58.45	30.64	17.74	31.56	26.54	5.65	22.49	37.25	13.13
-75.749462	45.108662	58.45	58.45	31.48	18.54	32.02	27.62	5.67	23.44	35.74	12.95
-75.749498	45.108693	58.46	58.46	31.66	18.76	32.50	28.10	5.69	24.55	35.13	12.85
-75.749538	45.108722	58.48	58.48	32.26	19.42	32.50	28.70	5.71	26.39	35.32	12.78
-75.749573	45.108750	58.46	58.46	33.18	20.46	33.12	29.54	5.74	27.85	35.96	12.62
-75.749610	45.108778	58.43	58.43	34.26	21.72	33.36	30.52	5.77	29.15	36.99	12.51
-75.749642	45.108808	58.39	58.39	35.00	22.46	34.54	31.54	5.81	30.28	38.17	12.50
-75.749680	45.108840	58.36	58.36	36.94	24.24	35.50	33.28	5.84	31.02	38.37	12.64
-75.749715	45.108870	58.35	58.35	38.74	24.96	36.54	34.90	5.86	31.38	38.07	13.08
-75.749752	45.108900	58.36	58.36	38.74	25.00	36.92	35.00	5.88	31.46	37.67	13.02
-75.749788	45.108930	58.36	58.36	38.28	24.96	36.92	34.90	5.90	31.43	37.33	12.80
-75.749830	45.108958	58.40	58.40	37.52	24.24	36.50	34.24	5.92	31.41	37.30	12.68
-75.749867	45.108987	58.46	58.46	36.62	23.02	35.40	32.52	5.95	31.48	37.86	12.69
-75.749903	45.109015	58.49	58.49	35.48	21.98	34.98	31.38	5.97	31.71	39.33	12.82
-75.749940	45.109045	58.53	58.53	35.48	21.98	34.98	31.38	5.99	33.00	44.54	12.93
-75.749980	45.109072	58.54	58.54	36.32	23.30	35.32	32.76	6.00	33.73	48.70	13.34
-75.750018	45.109102	58.54	58.54	36.96	23.72	35.56	33.20	6.01	34.47	48.54	12.82
-75.750053	45.109130	58.53	58.53	37.42	24.18	35.82	33.42	6.02	35.06	45.14	12.67
-75.750088	45.109160	58.55	58.55	37.42	24.28	36.38	33.78	6.02	35.39	42.61	12.64
-75.750125	45.109190	58.55	58.55	37.76	24.42	36.38	34.00	6.02	35.36	40.89	12.64
-75.750162	45.109220	58.56	58.56	37.76	24.42	36.06	34.00	6.02	35.02	39.34	12.81
-75.750198	45.109250	58.57	58.57	37.16	23.88	36.02	33.38	6.01	35.35	38.68	12.84
-75.750238	45.109278	58.59	58.59	36.70	23.08	35.96	32.82	6.02	33.74	36.92	12.64
-75.750272	45.109308	58.61	58.61	36.70	23.08	35.96	32.82	6.01	33.91	36.75	12.59
-75.750312	45.109340	58.64	58.64	36.74	23.84	35.70	32.92	6.01	33.22	36.21	12.51
-75.750350	45.109372	58.66	58.66	36.74	23.84	35.68	33.30	6.01	32.42	36.03	12.42
-75.750390	45.109400	58.68	58.68	36.64	23.84	35.68	33.30	6.01	31.57	35.93	12.32
-75.750427	45.109432	58.69	58.69	36.42	22.94	35.42	32.46	6.02	30.67	35.63	12.21
-75.750463	45.109460	58.71	58.71	35.74	22.60	35.10	31.90	6.02	29.75	35.27	12.13
-75.750500	45.109490	58.73	58.73	35.46	22.24	34.80	31.86	6.03	28.80	34.45	12.05
-75.750535	45.109520	58.76	58.76	35.24	22.22	34.46	31.72	6.03	27.76	33.29	11.96
-75.750573	45.109547	58.80	58.80	34.54	21.22	34.36	30.68	6.03	26.80	32.24	11.87
-75.750613	45.109578	58.85	58.85	33.76	20.56	33.46	29.52	6.04	25.88	31.02	11.77
-75.750652	45.109607	58.92	58.92	33.14	19.92	32.94	29.02	6.04	25.12	29.39	11.63
-75.750687	45.109635	58.97	58.97	32.92	19.90	32.78	28.94	6.04	24.59	28.48	11.59
-75.750723	45.109665	59.01	59.01	32.58	19.00	32.78	28.30	6.04	24.18	27.75	11.54
-75.750762	45.109695	59.06	59.06	31.62	18.40	32.08	27.40	6.04	23.88	27.29	11.52
-75.750802	45.109728	59.09	59.09	31.00	18.06	31.70	26.92	6.03	23.66	27.12	11.49
-75.750843	45.109758	59.12	59.12	30.70	17.56	31.46	26.34	6.02	23.48	27.10	11.41
-75.750878	45.109792	59.16	59.16	30.40	17.40	31.14	26.34	6.02	23.32	27.05	11.36
-75.750913	45.109823	59.23	59.23	30.24	17.40	31.14	25.88	6.00	23.16	27.01	11.52
-75.750952	45.109852	59.25	59.25	30.40	17.40	31.14	26.12	6.00	23.07	27.01	11.59
-75.750987	45.109883	59.27	59.27	30.50	17.12	31.20	25.88	5.99	23.02	26.91	11.55
-75.751023	45.109915	59.29	59.29	30.50	17.12	31.16	25.88	5.97	23.03	26.90	11.50
-75.751060	45.109943	59.31	59.31	30.02	17.12	31.16	25.70	5.96	23.06	26.74	11.47
-75.751100	45.109975	59.31	59.31	30.02	17.40	30.94	25.88	5.93	23.16	26.55	11.31
-75.751137	45.110008	59.35	59.35	30.38	17.46	30.94	25.92	5.88	23.23	26.54	11.12
