Longitude	Latitude	Elevation	Elevation	ShallowEC	DeepEC
-97.989769	41.274651	516.815	516.815	0.6	11.7
-97.989731	41.274651	516.926	516.926	0.6	11.2
-97.989685	41.274651	517.019	517.019	0.6	10.4
-97.989639	41.274651	517.083	517.083	0.7	9.7
-97.989594	41.274651	517.108	517.108	0.6	9.3
-97.989548	41.274651	517.115	517.115	0.6	10.2
-97.98951	41.274651	517.128	517.128	0.6	8.7
-97.989456	41.274651	517.151	517.151	0.7	9.6
-97.98941	41.274651	517.17	517.17	0.6	9.2
-97.989365	41.274651	517.197	517.197	0.7	9
-97.989319	41.274651	517.224	517.224	0.7	6.6
-97.989281	41.274651	517.248	517.248	0.6	6.5
-97.989243	41.274647	517.29	517.29	0.7	5.4
-97.989197	41.274643	517.33	517.33	0.8	6.4
-97.989159	41.274643	517.352	517.352	0.9	6.3
-97.98912	41.274643	517.354	517.354	0.9	6.9
-97.989075	41.274643	517.354	517.354	0.8	6.3
-97.989021	41.274643	517.36	517.36	0.8	5
-97.988983	41.274647	517.357	517.357	0.7	6.8
-97.988937	41.274651	517.343	517.343	0.7	6
-97.988892	41.274651	517.322	517.322	0.8	6.8
-97.988846	41.274651	517.327	517.327	0.7	7.4
-97.9888	41.274651	517.35	517.35	0.7	7.2
-97.988762	41.274651	517.37	517.37	0.5	4.4
-97.988708	41.274651	517.393	517.393	0.6	3.9
-97.98867	41.274651	517.404	517.404	0.5	3.6
-97.988632	41.274651	517.414	517.414	0.6	4.9
-97.988586	41.274651	517.425	517.425	0.6	4.9
-97.988533	41.274651	517.428	517.428	0.7	5.3
-97.988495	41.274651	517.426	517.426	0.7	5.1
-97.988449	41.274651	517.419	517.419	0.6	3.5
-97.988403	41.274651	517.409	517.409	0.7	3.8
-97.988358	41.274651	517.376	517.376	0.7	4.2
-97.988304	41.274651	517.327	517.327	0.8	4.8
-97.988258	41.274651	517.274	517.274	0.8	4.4
-97.988205	41.274651	517.226	517.226	0.8	4.8
-97.988159	41.274647	517.194	517.194	0.8	5.2
-97.988113	41.274643	517.184	517.184	0.8	5.5
-97.988052	41.274643	517.188	517.188	0.8	6.6
-97.987991	41.274643	517.2	517.2	0.8	6
-97.987946	41.274643	517.198	517.198	0.6	4.6
-97.9879	41.274643	517.171	517.171	0.6	4.2
-97.987854	41.274643	517.136	517.136	0.6	3.3
-97.987801	41.274643	517.116	517.116	0.5	2.7
-97.987747	41.274643	517.133	517.133	0.5	2.7
-97.987701	41.274643	517.156	517.156	0.5	2.8
-97.987656	41.274643	517.171	517.171	0.5	3
-97.98761	41.274643	517.194	517.194	0.5	2.8
-97.987556	41.274643	517.208	517.208	0.6	3.9
-97.987503	41.274643	517.193	517.193	0.6	3.6
-97.98745	41.274643	517.167	517.167	0.6	3.7
-97.987396	41.274643	517.135	517.135	0.7	4.7
-97.98735	41.274643	517.099	517.099	0.7	5.4
-97.987297	41.274643	517.096	517.096	0.6	4.4
-97.987259	41.274643	517.122	517.122	0.6	4.1
-97.987213	41.274643	517.14	517.14	0.7	4
-97.987167	41.274643	517.115	517.115	0.7	3.4
-97.987122	41.274643	517.064	517.064	0.6	3.1
-97.987068	41.274643	517.022	517.022	0.7	3.4
-97.987015	41.274643	516.999	516.999	0.7	3.7
-97.986969	41.274643	517.005	517.005	0.8	3.3
-97.986923	41.274643	517.014	517.014	0.9	4
-97.986877	41.274643	517.002	517.002	0.9	3.9
-97.986824	41.274643	516.984	516.984	0.9	3.9
-97.986771	41.274643	516.975	516.975	0.9	3.5
-97.986725	41.274643	516.982	516.982	1	4
-97.986679	41.274639	516.99	516.99	0.9	3.7
-97.986633	41.274635	516.992	516.992	0.9	3.7
-97.986588	41.274635	516.979	516.979	1	4.3
-97.986526	41.274635	516.948	516.948	0.9	3.8
-97.986481	41.274635	516.911	516.911	0.6	3.3
-97.986435	41.274635	516.867	516.867	0.5	2.9
-97.986389	41.274635	516.827	516.827	0.4	2.7
-97.986336	41.274635	516.807	516.807	0.4	2.5
-97.986282	41.274635	516.823	516.823	0.5	3.5
-97.986237	41.274635	516.849	516.849	0.7	5.1
-97.986191	41.274635	516.843	516.843	0.7	4
-97.986145	41.274635	516.804	516.804	0.7	4.2
-97.986092	41.274635	516.766	516.766	0.6	4.2
-97.986038	41.274635	516.746	516.746	0.7	4.9
-97.985992	41.274635	516.743	516.743	0.7	6
-97.985947	41.274635	516.725	516.725	0.6	4.6
-97.985901	41.274628	516.707	516.707	0.7	4
-97.985847	41.274624	516.693	516.693	0.8	5.2
-97.985794	41.274624	516.668	516.668	0.7	5.1
-97.985748	41.274624	516.655	516.655	0.7	5.3
-97.985703	41.274624	516.643	516.643	0.7	5
-97.985657	41.274624	516.62	516.62	0.8	5.5
-97.985603	41.274624	516.601	516.601	1	6.3
-97.98555	41.274624	516.591	516.591	1	7.2
-97.985504	41.274624	516.583	516.583	0.9	5.9
-97.985458	41.274624	516.575	516.575	0.8	5.4
-97.985413	41.274624	516.566	516.566	0.7	5.6
-97.985374	41.274624	516.562	516.562	0.7	5.5
-97.985329	41.274624	516.548	516.548	0.6	5.4
-97.985275	41.27462	516.534	516.534	0.7	6.8
-97.985229	41.274616	516.536	516.536	0.9	6.7
-97.985191	41.274616	516.538	516.538	0.9	5.9
-97.985153	41.274616	516.533	516.533	0.9	5.7
-97.9851	41.274616	516.525	516.525	0.8	5.2
-97.985046	41.274616	516.511	516.511	0.8	6.3
-97.985001	41.274616	516.524	516.524	0.7	7.5
-97.984955	41.274616	516.51	516.51	0.7	6.8
-97.984909	41.274616	516.459	516.459	0.8	8.7
-97.984871	41.274616	516.425	516.425	0.9	8.9
-97.984818	41.274616	516.394	516.394	0.9	6.6
-97.984772	41.274616	516.381	516.381	0.9	5.9
-97.984726	41.274616	516.376	516.376	1.1	6.9
-97.98468	41.274616	516.367	516.367	1.1	4.7
-97.984627	41.274616	516.353	516.353	1.2	7.1
-97.984589	41.274612	516.331	516.331	1.2	5.5
-97.984543	41.274609	516.312	516.312	1.2	7
-97.984497	41.274609	516.307	516.307	1.1	5.9
-97.984459	41.274609	516.303	516.303	1.1	8.5
-97.984421	41.274609	516.296	516.296	0.9	6.8
-97.984375	41.274609	516.292	516.292	1	7
-97.984329	41.274609	516.284	516.284	0.9	4.5
-97.984291	41.274609	516.277	516.277	0.8	4.7
-97.984261	41.274609	516.269	516.269	0.7	4.4
-97.984222	41.274609	516.25	516.25	0.9	5
-97.984177	41.274609	516.224	516.224	0.8	6.4
-97.984138	41.274609	516.187	516.187	0.8	6.8
-97.9841	41.274609	516.154	516.154	0.9	8.3
-97.984055	41.274609	516.134	516.134	1	8
-97.984016	41.274609	516.122	516.122	0.9	7.4
-97.983986	41.274609	516.109	516.109	1.3	9.7
-97.983948	41.274609	516.094	516.094	1.3	10.4
-97.983917	41.274609	516.09	516.09	1.2	10.2
-97.983887	41.274605	516.078	516.078	1.3	9.3
-97.983856	41.274601	516.049	516.049	1.4	11.8
-97.983826	41.274597	516.008	516.008	1.4	11
-97.983795	41.274593	515.965	515.965	1.5	12.8
-97.98378	41.274593	515.93	515.93	1.9	14.4
-97.983765	41.274593	515.893	515.893	2.2	15
-97.983749	41.274593	515.875	515.875	2.8	18.1
-97.983734	41.274593	515.881	515.881	3.6	22
-97.983719	41.274597	515.865	515.865	3.3	21.8
-97.983711	41.274605	515.838	515.838	2.7	20.4
-97.983704	41.274612	515.829	515.829	3	22.7
-97.983688	41.274628	515.805	515.805	3.5	24.5
-97.983688	41.274639	515.781	515.781	3.5	25.6
-97.983688	41.274651	515.777	515.777	3	25.4
-97.983688	41.274662	515.781	515.781	3	27.7
-97.983704	41.27467	515.791	515.791	2.8	27.2
-97.983719	41.274677	515.81	515.81	2.9	31
-97.983734	41.274689	515.837	515.837	2.5	25.8
-97.983749	41.274693	515.857	515.857	1.8	25.7
-97.983765	41.274693	515.875	515.875	1.6	19.9
-97.98378	41.274693	515.92	515.92	1.3	17.8
-97.983803	41.274689	515.968	515.968	1.3	13.8
-97.983841	41.274681	516	516	1.2	13.8
-97.983864	41.274677	516.022	516.022	1.3	19.9
-97.983887	41.274673	516.044	516.044	1.6	15.6
-97.983917	41.274673	516.067	516.067	1.4	13.6
-97.983948	41.274673	516.088	516.088	1.4	11.8
-97.983986	41.274673	516.104	516.104	1.3	10.8
-97.984016	41.274673	516.109	516.109	1	10.3
-97.984047	41.274677	516.114	516.114	1	11.6
-97.984085	41.274681	516.122	516.122	1	10.8
-97.984123	41.274681	516.138	516.138	0.9	9.8
-97.984161	41.274681	516.162	516.162	0.9	9.6
-97.984192	41.274681	516.179	516.179	1.1	8.8
-97.984238	41.274681	516.193	516.193	1.2	6.5
-97.984276	41.274681	516.208	516.208	1	5.8
-97.984314	41.274681	516.228	516.228	1.2	8.7
-97.984352	41.274681	516.239	516.239	1.1	6.7
-97.98439	41.274681	516.245	516.245	0.8	7.2
-97.984436	41.274681	516.254	516.254	0.8	7.4
-97.984474	41.274681	516.26	516.26	0.9	7.4
-97.984512	41.274681	516.268	516.268	1	9.8
-97.984558	41.274681	516.282	516.282	1.1	9.6
-97.984589	41.274681	516.291	516.291	1	8.2
-97.984619	41.274681	516.296	516.296	0.9	7.3
-97.984665	41.274681	516.303	516.303	0.8	6.4
-97.984703	41.274681	516.305	516.305	0.9	7.3
-97.984734	41.274681	516.313	516.313	1	8.4
-97.984764	41.274681	516.327	516.327	1.1	9
-97.984802	41.274681	516.344	516.344	1	8.2
-97.984848	41.274681	516.362	516.362	0.8	8.2
-97.984879	41.274681	516.38	516.38	0.8	7.9
-97.984924	41.274681	516.398	516.398	0.8	7
-97.984962	41.274681	516.436	516.436	0.7	7.2
-97.984993	41.274689	516.46	516.46	0.8	6.1
-97.985031	41.274693	516.463	516.463	0.7	6.3
-97.985077	41.274689	516.488	516.488	0.7	7.4
-97.985115	41.274689	516.51	516.51	0.8	6.1
-97.985168	41.274693	516.523	516.523	0.8	4.8
-97.985207	41.274693	516.528	516.528	0.7	5.6
-97.985245	41.274693	516.528	516.528	0.8	8.6
-97.985291	41.274693	516.516	516.516	0.9	8.9
-97.985329	41.274693	516.502	516.502	1	8.7
-97.985374	41.274693	516.507	516.507	1	10.1
-97.985413	41.274693	516.527	516.527	0.9	8.9
-97.985451	41.274693	516.546	516.546	0.8	8.1
-97.985489	41.274693	516.563	516.563	0.8	7.6
-97.985535	41.274693	516.586	516.586	0.8	6.9
